Sample ID,description,rank order,Age (ka),Uncert (ka),age (yrs),SiO2,Method,Map Unit,Edifice,Lat,Lon,Ref
727,,43,4,0,4000,,,,Adams,,,Watt et al 2013
1539,,50,5.5,0,5500,,,,Adams,,,Watt et al 2013
852,,53,6,0,6000,,,,Adams,,,Watt et al 2013
1530,,54,6,0,6000,,,,Adams,,,Watt et al 2013
1749,,55,6,0,6000,,,,Adams,,,Watt et al 2013
355,,82,10,0,10000,,,,Adams,,,Watt et al 2013
OLe18,,84,10,0,10000,,,,Adams,,,Watt et al 2013
OLe3,,129,14,0,14000,,,,Adams,,,Watt et al 2013
163,,134,14.5,0,14500,,,,Adams,,,Watt et al 2013
,,137,14.5,0,14500,,,,Adams,,,Watt et al 2013
MA-63,andesite of South  Butte,,12,17,12000,,K-Ar,asb,Adams,,,Hildreth et al 1994
MA-44,andesite of Suksdorf  Ridge,,10,16,10000,,K-Ar,ask,Adams,,,Hildreth et al 1994
MA-51,andesite of  Mount Adams summit,,15,8,15000,,K-Ar,aas,Adams,,,Hildreth et al 1994
MA-56,andesite of  Pikers Peak (south summit),,13,8,13000,,K-Ar,app,Adams,,,Hildreth et al 1994
MA-246,andesite of  Pikers Peak (Ridge of  Wonders),,33,14,33000,,K-Ar,app,Adams,,,Hildreth et al 1994
MA-15,andesite of  Big Spring Creek,,28,6,28000,,K-Ar,abs,Adams,,,Hildreth et al 1994
MA-484,andesite of  Devils Gardens,,37,8,37000,,K-Ar,adg,Adams,,,Hildreth et al 1994
MA-504,andesite of  West  Fork,,55,7,55000,,K-Ar,awf,Adams,,,Hildreth et al 1994
MA-401,andesite of  Morrison  Creek,,56,6,56000,,K-Ar,amc,Adams,,,Hildreth et al 1994
MA-83,basalt of  Riley Creek,,63,14,63000,,K-Ar,brc,Adams,,,Hildreth et al 1994
MA-204,dacite of Cascade Creek,,93,16,93000,,K-Ar,dee,Adams,,,Hildreth et al 1994
MA-336,dacite of Cascade Creek (intracanyon flow,,117,6,117000,,K-Ar,dee,Adams,,,Hildreth et al 1994
MA-965,dacite of Bird Creek Meadows,,115,5,115000,,K-Ar,dbc,Adams,,,Hildreth et al 1994
MA-413,andesite of Parrott Crossing,,120,5,120000,,K-Ar,apc,Adams,,,Hildreth et al 1994
MA-354,Andesite of killen Creek (Horsehoe Lake) ,,120,7,120000,,K-Ar,akc,Adams,,,Hildreth et al 1994
MA-124A,andesite of Twin Falls Creek,,137,6,137000,,K-Ar,atf,Adams,,,Hildreth et al 1994
Ma-1011,andesite of Foggy Flat,,152,8,152000,,K-Ar,aff,Adams,,,Hildreth et al 1994
MA-290,andesite of Crofton Ridge,,160,12,160000,,K-Ar,acr,Adams,,,Hildreth et al 1994
MA-1008,dacite of High Camp,,213,5,213000,,K-Ar,dhc,Adams,,,Hildreth et al 1994
MA-122,dacite of Adams Creek,,233,6,233000,,K-Ar,dac,Adams,,,Hildreth et al 1994
MA-355h,dacite of Sheep Creek,,246,4,246000,,K-Ar,dsc,Adams,,,Hildreth et al 1994
MA-356,andesite of Lewis River,,251,5,251000,,K-Ar,alw,Adams,,,Hildreth et al 1994
MA-838,dacite of lewis river,,252,8,252000,,K-Ar,dlr,Adams,,,Hildreth et al 1994
MA-991,dacite of hellroaring ditch,,304,5,304000,,K-Ar,dhd,Adams,,,Hildreth et al 1994
MA-1035,andesite of west muddy fork,,328,21,328000,,K-Ar,awm,Adams,,,Hildreth et al 1994
MA-144,adensite of lookingglass lake,,329,11,329000,,K-Ar,all,Adams,,,Hildreth et al 1994
MA-174,andesite of white salmon river (top flow distally),,320,7,320000,,K-Ar,aws,Adams,,,Hildreth et al 1994
MA-331,andesite of white salmon river (cascade creek base),,456,8,456000,,K-Ar,aws,Adams,,,Hildreth et al 1994
MA-408,andesite of white salmon river (base near buck creek),,457,11,457000,,K-Ar,aws,Adams,,,Hildreth et al 1994
MA-477,dacite of the spearhead,,474,12,474000,,K-Ar,dts,Adams,,,Hildreth et al 1994
MA-523,andesite of hellroaring volcano (big muddy creek),,491,8,491000,,K-Ar,ahv,Adams,,,Hildreth et al 1994
MA-967,andesite of hellroaring volcano (shadow lake quarry),,511,9,511000,,K-Ar,ahv,Adams,,,Hildreth et al 1994
MA-365,andesite of helloraring volcano (hellroaring meadown),,516,10,516000,,K-Ar,ahv,Adams,,,Hildreth et al 1994
MA-311,basalt of Smith  Butte,,14,13,14000,,K-Ar,bsb,Adams,,,Hildreth et al 1994
MA-437R,andesite of  Little Mount Adams,,63,7,63000,,K-Ar,ala,Adams,,,Hildreth et al 1994
MA-550,basalt of Glaciate  Butte (vent),,69,15,69000,,K-Ar,bgb,Adams,,,Hildreth et al 1994
MA-603,ba alt of Glaciate Butte,,68,10,68000,,K-Ar,bgb,Adams,,,Hildreth et al 1994
MA-502,basalt west of  Clearwater  Creek,,97,21,97000,,K-Ar,bcw,Adams,,,Hildreth et al 1994
MA-996,andcsite east of Shadow  Lake,,111,6,111000,,K-Ar,aes,Adams,,,Hildreth et al 1994
MA-695,basalt  of  Potato  Hill,,111,10,111000,,K-Ar,bph,Adams,,,Hildreth et al 1994
MA-24,basalt of King Mountain ,,89,40,89000,,K-Ar,bkm,Adams,,,Hildreth et al 1994
MA -380,basalt  of  Meadow  Butte,,138,58,138000,,K-Ar,bmb,Adams,,,Hildreth et al 1994
MA-729,basalt  of Quigley  Butte,,115,28,115000,,K-Ar,bqb,Adams,,,Hildreth et al 1994
MA-381,basalt west of  Draper Springs,,122,21,122000,,K-Ar,bdw,Adams,,,Hildreth et al 1994
MA-954R,basalt west of Stagman  Ridge,,145,20,145000,,K-Ar,bsr,Adams,,,Hildreth et al 1994
MA-226,basalt of Goat Butte,,159,31,159000,,K-Ar,bgt,Adams,,,Hildreth et al 1994
MA-319,basalt west of  Draper Springs,,184,29,184000,,K-Ar,bdw,Adams,,,Hildreth et al 1994
MA-302,basalt of herions bridge,,209,21,209000,,K-Ar,bhb,Adams,,,Hildreth et al 1994
MA-394,basalt of cakey butte,,246,19,246000,,K-Ar,bcb,Adams,,,Hildreth et al 1994
MA-799,basalt east of white salmon rivr,,329,50,329000,,K-Ar,bew,Adams,,,Hildreth et al 1994
MA-40,andesite of cakey butte,,259,35,259000,,K-Ar,acb,Adams,,,Hildreth et al 1994
MA-424,basalt of bear creek (E lobe),,323,13,323000,,K-Ar,bbc,Adams,,,Hildreth et al 1994
MA-422,basalt of bear creek (W lobe),,350,14,350000,,K-Ar,bbc,Adams,,,Hildreth et al 1994
MA-535A,basalt of bacon creek,,378,22,378000,,K-Ar,bbn,Adams,,,Hildreth et al 1994
MA-11,dacite of olallie lake (stony),,381,5,381000,,K-Ar,dol,Adams,,,Hildreth et al 1994
MA-350,dacite of olalli lake (glassy),,316,16,316000,,K-Ar,dol,Adams,,,Hildreth et al 1994
MA-930,andesite of the island,,385,7,385000,,K-Ar,ati,Adams,,,Hildreth et al 1994
MA-421,basalt of flattop mountain,,394,12,394000,,K-Ar,bfm,Adams,,,Hildreth et al 1994
MA-449,andesite of dairy creek,,425,7,425000,,K-Ar,adc,Adams,,,Hildreth et al 1994
MA-572,basalt of the west fork,,500,34,500000,,K-Ar,bwf,Adams,,,Hildreth et al 1994
MA-585,basalt of clearwater creek,,505,16,505000,,K-Ar,bcl,Adams,,,Hildreth et al 1994
MA-811,basalt of swampy meadows,,518,14,518000,,K-Ar,bsm,Adams,,,Hildreth et al 1994
MA-398,basalt of white salmon river,,557,18,557000,,K-Ar,bws,Adams,,,Hildreth et al 1994
MA-719,andesite of mud spring ,,622,15,622000,,K-Ar,ams,Adams,,,Hildreth et al 1994
MA-992,andesite of laurel ,,631,21,631000,,K-Ar,alr,Adams,,,Hildreth et al 1994
MA-386,dacite of dry creek,,695,8,695000,,K-Ar,ddc,Adams,,,Hildreth et al 1994
MA-414,basalt of outlet falls,,775,114,775000,,K-Ar,bof,Adams,,,Hildreth et al 1994
MA-347,andesite of bacon creek,,903,13,903000,,K-Ar,abc,Adams,,,Hildreth et al 1994
MA-428,andesit of mount adams highway (garbage dump),,931,14,931000,,K-Ar,aah,Adams,,,Hildreth et al 1994
MA-705,andesite of mount adams highway (skunk creek),,942,11,942000,,K-Ar,aah,Adams,,,Hildreth et al 1994
MA-390,basalt of  Blue Jay Campground,,940,36,940000,,K-Ar,bbj,Adams,,,Hildreth et al 1994
MA-846,basalt of  Glenwood,,2360,720,2360000,,K-Ar,bgo,Adams,,,Hildreth et al 1994
1746,,497,716,45,716000,50.2,K-Ar,bpb,Baker,,,Hildreth et al 2003
,,314,94,21,94000,52.1,K-Ar,bls,Baker,,,Hildreth et al 2003
144,,445,331,18,331000,52.9,K-Ar,bcc,Baker,,,Hildreth et al 2003
141,,387,203,25,203000,54.2,K-Ar,atp,Baker,,,Hildreth et al 2003
496,,506,878,18,878000,55.5,K-Ar,atc,Baker,,,Hildreth et al 2003
433,,261,48,18,48000,55.6,K-Ar,asw,Baker,,,Hildreth et al 2003
1011,,418,296,20,296000,55.7,K-Ar,arc,Baker,,,Hildreth et al 2003
212-3,,339,119,23,119000,56.1,K-Ar,ado,Baker,,,Hildreth et al 2003
1029,,447,333,12,333000,56.2,K-Ar,abp,Baker,,,Hildreth et al 2003
854,,480,495,18,495000,56.3,K-Ar,arc,Baker,,,Hildreth et al 2003
152,,74,9,11,9000,57.9,K-Ar,amp,Baker,,,Hildreth et al 2003
1544,,461,366,10,366000,57.95,K-Ar,afd,Baker,,,Hildreth et al 2003
1295,,448,334,15,334000,58.1,K-Ar,abb,Baker,,,Hildreth et al 2003
1130,,127,14,9,14000,58.3,K-Ar,agc,Baker,,,Hildreth et al 2003
284,,245,36,14,36000,58.3,K-Ar,acv,Baker,,,Hildreth et al 2003
1142,,475,457,40,457000,58.3,K-Ar,alr,Baker,,,Hildreth et al 2003
,,452,336,15,336000,58.5,K-Ar,abb,Baker,,,Hildreth et al 2003
355,,348,140,55,140000,58.6,K-Ar,apc,Baker,,,Hildreth et al 2003
525,,449,334,11,334000,58.7,K-Ar,abb,Baker,,,Hildreth et al 2003
1565,,89,11,9,11000,58.8,K-Ar,acv,Baker,,,Hildreth et al 2003
OLe5,,299,76,7,76000,58.8,K-Ar,aba,Baker,,,Hildreth et al 2003
1196,,333,114,9,114000,59.2,K-Ar,aem,Baker,,,Hildreth et al 2003
185,,441,322,12,322000,59.2,K-Ar,abr,Baker,,,Hildreth et al 2003
1547,,428,305,6,305000,59.4,K-Ar,acp,Baker,,,Hildreth et al 2003
1132,,255,43,5,43000,59.5,K-Ar,amp,Baker,,,Hildreth et al 2003
OLe4,,416,288,15,288000,59.5,K-Ar,abb,Baker,,,Hildreth et al 2003
210-9,,453,339,11,339000,59.55,K-Ar,abb,Baker,,,Hildreth et al 2003
381,,323,105,8,105000,59.6,K-Ar,adb,Baker,,,Hildreth et al 2003
1303,,457,346,9,346000,59.8,K-Ar,abb,Baker,,,Hildreth et al 2003
,,505,859,14,859000,59.8,K-Ar,alm,Baker,,,Hildreth et al 2003
913,,375,189,11,189000,60.0,K-Ar,aov,Baker,,,Hildreth et al 2003
312,,75,9,7,9000,60.1,K-Ar,arg,Baker,,,Hildreth et al 2003
1147,,228,32,14,32000,60.1,K-Ar,amp,Baker,,,Hildreth et al 2003
210-10,,450,334,9,334000,60.5,K-Ar,acd,Baker,,,Hildreth et al 2003
1015,,509,1005,17,1005000,60.5,K-Ar,asr,Baker,,,Hildreth et al 2003
OLe6,,192,24,16,24000,60.6,K-Ar,arg,Baker,,,Hildreth et al 2003
1198,,419,296,15,296000,60.6,K-Ar,ald,Baker,,,Hildreth et al 2003
OLe-18,,378,192,8,192000,60.7,K-Ar,adh,Baker,,,Hildreth et al 2003
1216,,435,309,13,309000,60.7,K-Ar,atm,Baker,,,Hildreth et al 2003
806,,287,70,7,70000,60.9,K-Ar,apt,Baker,,,Hildreth et al 2003
143,,432,306,13,306000,60.9,K-Ar,ack,Baker,,,Hildreth et al 2003
486,,514,1156,130,1156000,60.9,K-Ar,adc,Baker,,,Hildreth et al 2003
1913,,474,455,9,455000,61.1,K-Ar,afd,Baker,,,Hildreth et al 2003
1086,,481,515,8,515000,61.1,K-Ar,alr,Baker,,,Hildreth et al 2003
240,,442,322,9,322000,61.4,K-Ar,abr,Baker,,,Hildreth et al 2003
1181,,493,613,8,613000,61.9,K-Ar,dcd,Baker,,,Hildreth et al 2003
825,,501,743,72,743000,61.9,K-Ar,ald,Baker,,,Hildreth et al 2003
497,,431,306,13,306000,62.1,K-Ar,abb,Baker,,,Hildreth et al 2003
213-3,,500,743,34,743000,62.1,K-Ar,ail,Baker,,,Hildreth et al 2003
435,,308,90,52,90000,62.2,K-Ar,abg,Baker,,,Hildreth et al 2003
143,,386,202,9,202000,62.2,K-Ar,apl,Baker,,,Hildreth et al 2003
