Sample ID	Age (ka)	age (yrs)	Uncert (ka)	SiO2		Method	Map Unit	Location	Lat	Lon	Ref					1: SERNAGEOMIN Calbuco map +supplemental text	
	0.008	8				14C	NHT	ANTILLANCA			4					2: SERNAGEOMIN Villarrica map + supplemental text	
	0.01	10				14C	Ap1	APAGADO			4					3: RHV personal communication	
	0.011	11				Hist	1961	CALBUCO			4					4: Watt et al 2013 Table 2 (EM converted to ka)	
	0.028	28				14C	Hlr	CALBUCO	-41.432827	-72.592416	1					5: Singer et al 2008 Table 1	
	0.035	35		52.23		Hist	1929	CALBUCO			4					7: SERNAGEOMIN Mocho Choshuenco map	
	0.048	48				Hist	1893	CALBUCO			4						"Osorno si content: from map legend, assigned max value if a range given for a single unit"
	0.048	48		52.19		14C	Hlr	CALBUCO	-41.432827	-72.592416	1			8. Rawson et al 2015 			
	0.058	58				14C	Hlr	CALBUCO	-41.274968	-72.542598	1						
	0.059	59				14C	Hlr	CALBUCO	-41.274968	-72.542598	1						
	0.064	64				14C	Hlp3	CALBUCO	-41.432917	-72.573622	1						
	0.064	64				14C	Ca13	CALBUCO			4						
	0.071	71				14C	Ca12	CALBUCO			4						
	0.074	74				14C	Hdp3	CALBUCO	-41.279027	-72.532556	1						
	0.087	87				14C	Hlp3	CALBUCO	-41.26871375	-72.69682297	1						
XGO119B	0.09	90	0.05			14C	Hlp3	CALBUCO	-41.276492	-72.644839	1						
	0.09	90				14C	Hap3	CALBUCO	-41.314588	-72.6947	1						
	0.098	98				14C	Hap3	CALBUCO	-41.374938	-72.775764	1						
	0.1	100	0.04	52		14C	Hap3	CALBUCO	-41.31914	-72.682341	1						
	0.112	112				14C	Ca11	CALBUCO			4						
	0.126	126				14C	Hap3	CALBUCO	-41.361828	-72.748075	1						
	0.129	129				14C	Ca7	CALBUCO			4						
XGO119C	0.13	130	0.06			14C	Hap3	CALBUCO	-41.323067	-72.696364	1						
201297-2B	0.15	150	0.05			14C	Hap3	CALBUCO			1						
	0.155	155				14C	Ca1	CALBUCO			4						
	0.157	157				14C	Pldp2	CALBUCO	-41.342202	-72.700301	1						
	0.185	185				Ar	Hc3	CALBUCO	-41.32442391	-72.6611772	1						
VMA-19B	0.22	220	0.04			Ar	Plc2	CALBUCO	-41.34984117	-72.59609431	1						
201297-1	0.23	230	0.06			Ar	Hc3	CALBUCO	-41.34984117	-72.59609431	1						
	0.24	240	0.05	56		Ar	Plc2	CALBUCO	-41.30235131	-72.56622501	1						
	0.263	263	0.015	55.5		Ar	Plc2	CALBUCO	-41.33494503	-72.62344566	1						
	0.321	321				Ar	Plc2	CALBUCO	-41.27798333	-72.64520225	1						
	0.337	337	0.122	59.27		Ar	Plc2	CALBUCO	-41.34835739	-72.5979298	1						
	0.35	350	0.04	52		Ar	Plc2	CALBUCO	-41.35226488	-72.59484567	1						
	0.379	379				Ar	Plc2	CALBUCO	-41.35226488	-72.59484567	1						
	0.385	385	0.011	60.19		Hist	1917	CALBUCO			4						
	0.41	410	0.085	59.78		Ar	Plc1	CALBUCO	-41.31564963	-72.66819291	1						
VMA-3E	0.53	530	0.05			Ar	Plc2	CALBUCO	-41.31907917	-72.57828995	1						
	0.588	588				Ar	Plc1	CALBUCO	-41.27527488	-72.6343517	1						
	0.637	637				Ar	Plc1	CALBUCO	-41.33006977	-72.68023685	1						
	0.69	690				Ar	Plc1	CALBUCO	-41.31624091	-72.67248447	1						
	0.807	807				Hist	1955	CARRAN-LOS VENADOS			4						
	1.02	1020				Hist	1907	CARRAN-LOS VENADOS			4						
	1.035	1035	0.193	65.02		Hist	2008	CHAITEN			4						
MCL-7	1.08	1080				14C	CHA1	CHAITEN			4						
	1.133	1133				14C	CM4	CORCOVADO			4						
	1.141	1141				14C	COR3	CORCOVADO			4						
	1.183	1183				14C	COR2	CORCOVADO			4						
	1.194	1194	0.133	65.31		14C	Ho1	HORNOPIREN			4						
	1.25	1250	0.04	56		Hist	1991	HUDSON			4						
	1.265	1265	0.11	63.43		Hist	T9/1971	HUDSON			4						
XG0118	1.31	1310	0.06			14C	T8	HUDSON			4						
	1.376	1376				14C	T7	HUDSON			4						
	1.396	1396	0.093	60.94		14C	HW7	HUDSON			4						
	1.415	1415				14C	T6	HUDSON			4						
	1.476	1476				14C	HW6	HUDSON			4						
	1.482	1482	0.142	60.28		14C	H2/T5	HUDSON			4						
	1.532	1532				14C	T4	HUDSON			4						
	1.562	1562				14C	T3	HUDSON			4						
	1.585	1585				14C	H1/T2	HUDSON			4						
	1.617	1617				14C	T1	HUDSON			4						
260992-2C	1.62	1620	0.08			14C	HW3	HUDSON			4						
	1.707	1707				14C	HW2	HUDSON			4						
MCL-6	1.84	1840				14C	HW1	HUDSON			4						
	1.927	1927				Hist	1890	HUEQUI			4						
	1.955	1955				14C	LaVig	LA VIGUERIA			4						
	2.057	2057				14C	La-G	LANIN			4						
	2.065	2065	0.259	65.46		14C	La-	LANIN			4						
201297-3A	2.07	2070	0.06			14C	La-E	LANIN			4						
	2.123	2123				14C	La-D	LANIN			4						
	2.234	2234				14C	La-C	LANIN			4						
	2.244	2244				14C	La-B	LANIN			4						
	2.262	2262				14C	La-A	LANIN			4						
	2.269	2269				Hist	2009	LLAIMA			4						
	2.27	2270	0.112	64.34		Hist	1955	LLAIMA			4						
	2.594	2594				Hist	1945	LLAIMA			4						
260992-2A	2.62	2620	0.21			Hist	1932	LLAIMA			4						
	2.627	2627				Hist	1864	LLAIMA			4						
	2.691	2691				Hist	1862	LLAIMA			4						
	2.698	2698				Hist	1640	LLAIMA			4						
	2.898	2898	0.596	60.11		14C	Ll-s2	LLAIMA			4						
	2.9	2900				14C	Ll-s1	LLAIMA			4						
	3.029	3029				14C	Ll-pl	LLAIMA			4						
SCA-076	3.03	3030	0.04			14C	Ll-spl3	LLAIMA			4						
260992-2B	3.03	3030	0.08			14C	Ll-spl2	LLAIMA			4						
DCC-14	3.51	3510	0.06			14C	Ll-spl1	LLAIMA			4						
271191-1	3.58	3580	0.07			14C	Curacaut¨ªn 2	LLAIMA			4						
CAJ-17f	3.64	3640	0.05	56.01		14C	Curacaut¨ªn 1	LLAIMA			4						
DCC-13	3.65	3650	0.03			14C	MAC1	MACA			4						
DCC-12	3.67	3670	0.06			14C	MEL2	MELIMOYU			4						
MCL-5	3.71	3710	0.05			14C	MEL1	MELIMOYU			4						
240492-2	3.74	3740	0.07			14C	MEN1	MENTOLAT			4						
021191-1	3.77	3770	0.08			14C	MIC2/Cha2	MINCHINMAVIDA			4						
	3.92	3920				14C	MIC1	MINCHINMAVIDA			4						
021191-2	3.95	3950	0.07			14C	MC25	MOCHO-CHOSHUENCO			8						
	4.032	4032				14C	MC23	MOCHO-CHOSHUENCO			8						
	4.042	4042				14C	MC24	MOCHO-CHOSHUENCO			8						
230492-1	4.06	4060	0.08			14C	MC22	MOCHO-CHOSHUENCO			8						
260992-5	4.19	4190	0.14			14C	MC20	MOCHO-CHOSHUENCO			8						
	4.24	4240	0.04	52		14C	MC19	MOCHO-CHOSHUENCO			8						
	4.277	4277				14C	MC18B	MOCHO-CHOSHUENCO			8						
	4.539	4539				14C	MC15C	MOCHO-CHOSHUENCO			8						
	4.674	4674				14C	MC14	MOCHO-CHOSHUENCO			8						
	4.786	4786				14C	MC13	MOCHO-CHOSHUENCO			8						
PU-02-36	5.2	5200	2.4	70.4		14C	MC12	MOCHO-CHOSHUENCO			8						
	5.231	5231				14C	MC11	MOCHO-CHOSHUENCO			8						
	5.52	5520	0.04	52		14C	Mo-A	MOCHO-CHOSHUENCO			4						
260492-2	5.68	5680	0.14			14C	MC10	MOCHO-CHOSHUENCO			8						
	5.813	5813				14C	MC9B	MOCHO-CHOSHUENCO			8						
	6.2	6200	3	68		14C	MC9A	MOCHO-CHOSHUENCO			8						
050399-1B	6.25	6250	0.13			14C	MC8	MOCHO-CHOSHUENCO			8						
PU-03-21	6.4	6400	0.9	70.8		14C	MC7	MOCHO-CHOSHUENCO			8						
	6.477	6477				14C	MC6	MOCHO-CHOSHUENCO			8						
CAJ-9	6.55	6550	0.04			14C	MC5	MOCHO-CHOSHUENCO			8						
	6.71	6710				14C	Neltume	MOCHO-CHOSHUENCO			4						
PU-05-25	6.9	6900	1.6	70.2		14C	MC4C	MOCHO-CHOSHUENCO			8						
CAJ-12A	6.91	6910	0.08	55.23		14C	MC3	MOCHO-CHOSHUENCO			8						
