id,ka,years
1,0.007,7
2,0.029,29
3,0.097,97
4,0.15,150
5,0.2,200
6,0.212,212
7,0.3,300
8,0.346,346
9,0.522,522
10,0.8,800
11,1,1000
12,1.05,1050
13,1.1,1100
14,1.1,1100
15,1.237,1237
16,1.5,1500
17,1.5,1500
18,1.9,1900
19,1.9,1900
20,2,2000
21,2,2000
22,2.0,2000
23,2.1,2100
24,2.2,2200
25,2.2,2200
26,2.2,2200
27,2.3,2300
28,2.3,2300
29,2.3,2300
30,2.34,2340
31,2.4,2400
32,2.4,2400
33,2.45,2450
34,2.5,2500
35,2.53,2530
36,2.6,2600
37,2.7,2700
38,2.8,2800
39,2.8,2800
40,2.9,2900
41,3.5,3500
42,3.85,3850
43,4,4000
44,4.8,4800
45,5,5000
46,5,5000
47,5,5000
48,5,5000
49,5.1,5100
50,5.5,5500
51,5.5,5500
52,5.6,5600
53,6,6000
54,6,6000
55,6,6000
56,6.1,6100
57,6.6,6600
58,6.85,6850
59,7,7000
60,7,7000
61,7,7000
62,7,7000
63,7,7000
64,7,7000
65,7,7000
66,7.2,7200
67,7.7,7700
68,7.7,7700
69,7.9,7900
70,8,8000
71,8.0,8000
72,8.5,8500
73,9,9000
74,9.0,9000
75,9,9000
76,9,9000
77,9.5,9500
78,9.8,9800
79,9.8,9800
80,10,10000
81,10,10000
82,10,10000
83,10,10000
84,10,10000
85,10,10000
86,10.0,10000
87,10,10000
88,10.5,10500
89,11,11000
90,11,11000
91,11.0,11000
92,11,11000
93,11.5,11500
94,11.7,11700
95,12.0,12000
96,12.0,12000
97,12,12000
98,12.2,12200
99,12.5,12500
100,12.5,12500
101,12.5,12500
102,12.5,12500
103,12.79,12790
104,12.9,12900
105,13,13000
106,13,13000
107,13,13000
108,13,13000
109,13,13000
110,13,13000
111,13.4,13400
112,13.4,13400
113,13.5,13500
114,13.5,13500
115,13.5,13500
116,13.5,13500
117,13.5,13500
118,13.5,13500
119,13.5,13500
120,13.5,13500
121,13.5,13500
122,13.57,13570
123,13.73,13730
124,13.75,13750
125,13.775,13775
126,13.855,13855
127,13.97,13970
128,13.99,13990
129,14,14000
130,14,14000
131,14,14000
132,14,14000
133,14,14000
134,14,14000
135,14,14000
136,14.13,14130
137,14.5,14500
138,14.5,14500
139,14.5,14500
140,14.5,14500
141,14.6,14600
142,15,15000
143,15,15000
144,15,15000
145,15,15000
146,15.225,15225
147,15.525,15525
148,15.8,15800
149,15.85,15850
150,15.97,15970
151,16,16000
152,16.11,16110
153,16.15,16150
154,16.3,16300
155,16.435,16435
156,16.5,16500
157,16.5,16500
158,16.5,16500
159,16.75,16750
160,17.0,17000
161,17,17000
162,17.1,17100
163,17.8,17800
164,18.0,18000
165,18.7,18700
166,19.0,19000
167,19.4,19400
168,20.0,20000
169,20.0,20000
170,20.0,20000
171,20.5,20500
172,20.5,20500
173,20.5,20500
174,20.6,20600
175,21.0,21000
176,21.2,21200
177,21.4,21400
178,21.5,21500
179,21.5,21500
180,21.8,21800
181,21.8,21800
182,22.0,22000
183,22.5,22500
184,22.7,22700
185,23.5,23500
186,23.5,23500
187,23.5,23500
188,23.8,23800
189,23.9,23900
190,23.9,23900
191,24,24000
192,24,24000
193,24.1,24100
194,24.4,24400
195,24.6,24600
196,24.9,24900
197,24.9,24900
198,25.3,25300
199,25.4,25400
200,25.4,25400
201,25.6,25600
202,25.8,25800
203,26.4,26400
204,27.0,27000
205,27.5,27500
206,27.6,27600
207,27.6,27600
208,27.6,27600
209,27.6,27600
210,27.7,27650
211,27.8,27800
212,27.9,27900
213,28.0,28000
214,28,28000
215,28.2,28200
216,28.3,28300
217,28.5,28500
218,28.5,28500
219,29.2,29200
220,30.0,30000
221,30.0,30000
222,30.5,30500
223,30.9,30900
224,31.0,31000
225,31.2,31200
226,31.9,31900
227,31.9,31900
228,32,32000
229,32.1,32100
230,32.4,32400
231,32.9,32900
232,32.9,32900
233,33,33000
234,33.4,33400
235,34.2,34200
236,34.2,34200
237,34.2,34200
238,34.5,34500
239,34.6,34600
240,34.6,34600
241,34.9,34900
242,35.4,35400
243,35.6,35600
244,36,36000
245,36.4,36400
246,37,37000
247,37.4,37400
248,37.6,37600
249,38.4,38400
250,39.8,39800
251,40,40000
252,40,40000
253,41.1,41100
254,43,43000
255,47.0,47000
256,47.1,47100
257,48,48000
258,48.2,48200
259,48.5,48500
260,48.9,48900
261,50.0,50000
262,50.0,50000
263,50.0,50000
264,51.4,51400
265,54,54000
266,55,55000
267,55.9,55900
268,56,56000
269,57,57000
270,59.8,59800
271,63,63000
272,63,63000
273,65.0,65000
274,65.0,65000
275,68,68000
276,68.2,68200
277,69,69000
278,70,70000
279,71.7,71700
280,74,74000
281,74.0,74000
282,74.0,74000
283,75.0,75000
284,75.0,75000
285,76,76000
286,80,80000
287,84.5,84500
288,87,87000
289,89,89000
290,90.0,90000
291,90,90000
292,90,90000
293,91,91000
294,91.5,91500
295,93,93000
296,93,93000
297,94,94000
298,97,97000
299,100.0,100000
300,100.0,100000
301,100.0,100000
302,100,100000
303,105,105000
304,105,105000
305,107.4,107400
306,109,109000
307,110,110000
308,111,111000
309,111,111000
310,113.8,113800
311,114,114000
312,115,115000
313,115,115000
314,117,117000
315,119,119000
316,120,120000
317,120,120000
318,121.3,121300
319,122,122000
320,130.1,130100
321,131.3,131300
322,137,137000
323,138,138000
324,140.0,140000
325,140,140000
326,140,140000
327,145,145000
328,147,147000
329,149,149000
330,150.0,150000
331,150.4,150400
332,151.0,151000
333,151.5,151500
334,152,152000
335,159,159000
336,160,160000
337,160,160000
338,169.1,169100
339,172.2,172200
340,177.5,177500
341,180.0,180000
342,180.0,180000
343,181.0,181000
344,183.9,183900
345,184,184000
346,189,189000
347,190.0,190000
348,192,192000
349,197.9,197900
350,199,199000
351,200.0,200000
352,200.0,200000
353,200.0,200000
354,200,200000
355,202,202000
356,203,203000
357,209,209000
358,213,213000
359,220,220000
360,225.0,225000
361,233,233000
362,246,246000
363,246,246000
364,247,247000
365,251,251000
366,252,252000
367,259,259000
368,263,263000
369,269,269000
370,283.7,283700
371,288,288000
372,296,296000
373,296,296000
374,296,296000
375,300.0,300000
376,300.0,300000
377,300,300000
378,301,301000
379,303.8,303800
380,304,304000
381,305,305000
382,306,306000
383,306,306000
384,309,309000
385,310,310000
386,316,316000
387,320,320000
388,322,322000
