id,ka,years
1,0.008,8
2,0.01,10
3,0.011,11
4,0.028,28
5,0.035,35
6,0.048,48
7,0.048,48
8,0.058,58
9,0.059,59
10,0.064,64
11,0.064,64
12,0.071,71
13,0.074,74
14,0.087,87
15,0.09,90
16,0.09,90
17,0.098,98
18,0.1,100
19,0.112,112
20,0.126,126
21,0.129,129
22,0.13,130
23,0.15,150
24,0.155,155
25,0.157,157
26,0.185,185
27,0.22,220
28,0.23,230
29,0.24,240
30,0.263,263
31,0.321,321
32,0.337,337
33,0.35,350
34,0.379,379
35,0.385,385
36,0.41,410
37,0.53,530
38,0.588,588
39,0.637,637
40,0.69,690
41,0.807,807
42,1.02,1020
43,1.035,1035
44,1.08,1080
45,1.133,1133
46,1.141,1141
47,1.183,1183
48,1.194,1194
49,1.25,1250
50,1.265,1265
51,1.31,1310
52,1.376,1376
53,1.396,1396
54,1.415,1415
55,1.476,1476
56,1.482,1482
57,1.532,1532
58,1.562,1562
59,1.585,1585
60,1.617,1617
61,1.62,1620
62,1.707,1707
63,1.84,1840
64,1.927,1927
65,1.955,1955
66,2.057,2057
67,2.065,2065
68,2.07,2070
69,2.123,2123
70,2.234,2234
71,2.244,2244
72,2.262,2262
73,2.269,2269
74,2.27,2270
75,2.594,2594
76,2.62,2620
77,2.627,2627
78,2.691,2691
79,2.698,2698
80,2.898,2898
81,2.9,2900
82,3.029,3029
83,3.03,3030
84,3.03,3030
85,3.51,3510
86,3.58,3580
87,3.64,3640
88,3.65,3650
89,3.67,3670
90,3.71,3710
91,3.74,3740
92,3.77,3770
93,3.92,3920
94,3.95,3950
95,4.032,4032
96,4.042,4042
97,4.06,4060
98,4.19,4190
99,4.24,4240
100,4.277,4277
101,4.539,4539
102,4.674,4674
103,4.786,4786
104,5.2,5200
105,5.231,5231
106,5.52,5520
107,5.68,5680
108,5.813,5813
109,6.2,6200
110,6.25,6250
111,6.4,6400
112,6.477,6477
113,6.55,6550
114,6.71,6710
115,6.9,6900
116,6.91,6910
117,7.141,7141
118,7.289,7289
119,7.29,7290
120,7.363,7363
121,7.547,7547
122,7.587,7587
123,7.63,7630
124,7.824,7824
125,7.834,7834
126,7.97,7970
127,8.202,8202
128,8.202,8202
129,8.289,8289
130,8.301,8301
131,8.38,8380
132,8.55,8550
133,8.64,8640
134,8.683,8683
135,8.706,8706
136,8.886,8886
137,8.971,8971
138,9.076,9076
139,9.588,9588
140,9.599,9599
141,9.61,9610
142,9.65,9650
143,9.71,9710
144,9.765,9765
145,9.846,9846
146,9.921,9921
147,10.04,10040
148,10.13,10130
149,10.18,10180
150,10.488,10488
151,10.55,10550
152,10.651,10651
153,10.66,10660
154,10.96,10960
155,11.119,11119
156,11.322,11322
157,11.39,11390
158,11.495,11495
159,11.497,11497
160,11.5,11500
161,12,12000
162,12.027,12027
163,12.3,12300
164,12.52,12520
165,12.555,12555
166,12.603,12603
167,12.67,12670
168,12.908,12908
169,13.109,13109
170,13.41,13410
171,13.55,13550
172,13.57,13570
173,13.69,13690
174,13.75,13750
175,13.79,13790
176,13.8,13800
177,13.83,13830
178,13.84,13840
179,13.84,13840
180,13.845,13845
181,13.867,13867
182,13.89,13890
183,13.92,13920
184,13.97,13970
185,14.32,14320
186,14.602,14602
187,14.9,14900
188,14.937,14937
189,16.092,16092
190,16.487,16487
191,16.5,16500
192,18.7,18700
193,19.96,19960
194,26.15,26150
195,29.42,29420
196,30,30000
197,30,30000
198,30,30000
199,31.6,31600
200,32.2,32200
201,34.4,34400
202,40,40000
203,40,40000
204,41.18,41180
205,42,42000
206,43,43000
207,43,43000
208,44.5,44500
209,51.4,51400
210,53,53000
211,54,54000
212,54,54000
213,54,54000
214,60,60000
215,60,60000
216,62.9,62900
217,65.5,65500
218,69.3,69300
219,70,70000
220,72.8,72800
221,75,75000
222,78.9,78900
223,80,80000
224,81,81000
225,82,82000
226,83,83000
227,83.7,83700
228,86,86000
229,90,90000
230,95,95000
231,95.6,95600
232,96.12,96120
233,98,98000
234,102,102000
235,106,106000
236,106.3,106300
237,110,110000
238,110,110000
239,111,111000
240,111,111000
241,120,120000
242,120,120000
243,120,120000
244,120,120000
245,124.1,124100
246,124.5,124500
247,128.4,128400
248,130,130000
249,131.3,131300
250,133.2,133200
251,149,149000
252,158.1,158100
253,160,160000
254,160,160000
255,167.4,167400
256,170,170000
257,170,170000
258,173,173000
259,173,173000
